LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/min),(micron/min),(micron),(min),(micron),(micron),(micron),
ID284418 → ID285335,65,284418,285335,0.005956595517084454,0.0035741809518086286,0.03858949182447358,0.07717898364894717,141.0,58.4951604680039,14.961748298840476,0.0,
ID282570 → ID281973,65,282570,281973,0.02973986393835421,1.3711778535650316,0.08622624881431729,0.17245249762863457,115.0,59.05618629498976,15.846820980382617,0.0,
ID283841 → ID284239,65,283841,284239,3.145857072255829,0.16387774727520033,0.8868282066240096,1.7736564132480193,137.0,61.15457828335917,14.457696501663769,0.0,
ID282517 → ID286106,65,282517,286106,0.001598388040030051,1.293848668611807,0.019989922711394176,0.03997984542278835,123.0,61.92429936195835,14.560983832124915,0.0,
ID285097 → ID285088,65,285097,285088,0.21765453136370214,0.4143512891156685,0.23326729912468558,0.46653459824937116,145.0,58.55128138907778,13.248584491774128,0.0,
ID285335 → ID285253,65,285335,285253,0.01941808698332806,0.7835227364782925,0.0696743980658033,0.1393487961316066,143.0,58.50953650070045,14.8832806615608,0.0,
ID285234 → ID285325,65,285234,285325,0.36064265832108905,1.4314829446472568,0.3002676549018763,0.6005353098037526,147.0,58.40893178775694,14.689558966287361,0.0,
ID283592 → ID283841,65,283592,283841,0.017057584035162672,1.1886185002255676,0.065302343057433,0.130604686114866,135.0,61.983254219157345,13.995437749064479,0.0,
ID273915 → ID273898,65,273915,273898,0.10728834780196397,0.06132745710314398,0.16377450030603358,0.32754900061206715,11.0,60.806514496824036,21.20115516970757,0.0,
ID279495 → ID279353,65,279495,279353,0.1956835436588365,0.14481262661345295,0.2211806635190091,0.4423613270380182,93.0,59.131478051516666,14.243977030224496,0.0,
ID281122 → ID281696,65,281122,281696,0.027822557921157134,0.4905607530740375,0.08340047649917405,0.1668009529983481,99.0,61.47803591595925,15.255524586780059,0.0,
ID285729 → ID285781,65,285729,285781,0.10850689302544082,0.15154259406773432,0.1647019224428185,0.329403844885637,119.0,59.13487610418065,15.721085756831226,0.0,
ID286131 → ID282843,65,286131,282843,1.9769788034471576,1.5235339953700984,0.7030253913350423,1.4060507826700845,127.0,61.65392893898549,16.16713664006797,0.0,
ID278253 → ID277701,65,278253,277701,0.04093212425658141,1.2417213865332728,0.10115844534266703,0.20231689068533407,71.0,59.76591091276385,15.68465589071024,0.0,
ID282548 → ID281970,65,282548,281970,0.02273570892289327,1.0491255887387476,0.07539182469421547,0.15078364938843095,115.0,61.66954997490765,14.97682271150057,0.0,
ID277816 → ID278670,65,277816,278670,0.06172738148086702,1.4020765797298398,0.12422497884973357,0.24844995769946715,67.0,60.35570815944294,17.74055872883743,0.0,
ID279501 → ID279356,65,279501,279356,0.19137701118517023,0.15347121023547713,0.21873329146769716,0.4374665829353943,93.0,61.26672758927728,15.284764678976943,0.0,
ID281119 → ID281693,65,281119,281693,0.01660793779260633,0.12549247242050207,0.06443589409755701,0.12887178819511402,99.0,59.190329190949896,14.329831661456476,0.0,
ID284405 → ID284532,65,284405,284532,0.005559369712313135,0.8241602816630128,0.03728059050066514,0.07456118100133027,139.0,62.4323229991228,16.880524310644105,0.0,
ID281973 → ID285729,65,281973,285729,8.236935879433511E-4,1.285631465266303,0.01435003125382791,0.02870006250765582,117.0,59.110521850017086,15.897865333655162,0.0,
ID276629 → ID276055,65,276629,276055,0.7836453251258554,0.44232971373689917,0.4426187199853434,0.8852374399706868,39.0,60.78732930965502,18.82130165522419,0.0,
ID279479 → ID280917,65,279479,280917,0.004830647435680642,0.7061302070886849,0.03475142959534414,0.06950285919068828,77.0,59.91266562883845,15.454872162205026,0.0,
ID279353 → ID280666,65,279353,280666,0.07726724013979838,1.4772789220388796,0.13898492736606224,0.2779698547321245,95.0,59.092231958317015,14.16467932224064,0.0,
ID280238 → ID278592,65,280238,278592,0.001569922789053857,0.026911962656043297,0.019811125593046555,0.03962225118609311,81.0,60.127247032117005,15.42230768134182,0.0,
ID285346 → ID285436,65,285346,285436,0.47726809202184095,1.4696462774342915,0.34542296247565857,0.6908459249513171,147.0,62.476135758477966,16.749731631593182,0.0,
ID273837 → ID275640,65,273837,275640,0.12427826859762192,0.31114481647100356,0.17626561533494126,0.3525312306698825,55.0,59.58668951735092,16.19481307488584,0.0,
ID280407 → ID279495,65,280407,279495,0.1426835822311554,1.3687391687437263,0.18886740205178038,0.37773480410356075,91.0,59.25003130790566,14.632055454466542,0.0,
ID281701 → ID282214,65,281701,282214,0.20478197168807385,0.11390848252482118,0.2262642104311207,0.4525284208622414,101.0,61.399146268164884,16.3621409839228,0.0,
ID284161 → ID282905,65,284161,282905,0.21092304278501178,1.4903519080453123,0.2296317937400066,0.4592635874800132,109.0,59.23024462271391,13.991178201726708,0.0,
ID285903 → ID285835,65,285903,285835,0.07458548408326267,0.05623460856494603,0.13655171555427514,0.2731034311085503,125.0,59.38529814668547,14.092616272416693,0.0,
ID278051 → ID280026,65,278051,280026,1.0896579610833266,0.08900740033462563,0.5219334155530106,1.0438668311060213,87.0,60.67457730414685,15.521246672460766,0.0,
ID275789 → ID276127,65,275789,276127,0.0226008134928385,0.09732523749281069,0.07516783469815813,0.15033566939631626,43.0,60.89577777487567,19.07360046313793,0.0,
ID284394 → ID284517,65,284394,284517,0.01463011735632603,0.8646888880775581,0.06047751101923348,0.12095502203846696,139.0,60.261050694933054,16.621767568087588,0.0,
ID276117 → ID276943,65,276117,276943,0.053979380790188124,0.29521795057535744,0.11616731553043236,0.23233463106086472,45.0,59.55770787295344,16.82322221990981,0.0,
ID284517 → ID285432,65,284517,285432,0.0038990432231384336,0.08129723961435935,0.031221159584240436,0.06244231916848087,141.0,60.18739004620019,16.567610876914294,0.0,
ID285344 → ID285330,65,285344,285330,0.18490778049075812,0.5693701487703021,0.21500452349355242,0.43000904698710485,145.0,60.160882200901455,16.274219592372525,0.0,
ID281208 → ID282529,65,281208,282529,0.10067025719856731,1.4483986612260717,0.1586428829151873,0.3172857658303746,113.0,59.230876075623485,14.316756631262315,0.0,
ID285330 → ID285421,65,285330,285421,0.39900016912948044,1.4353880753331638,0.3158323008850901,0.6316646017701802,147.0,60.11296179563012,16.387444141441694,0.0,
